Name,Total Score,Process Method,Cultivar,Farm_Gate,Uniformity,Fragrance,Wet Aroma,Brightness,Flavor,Body_1,Finish,Sweetness,Clean Cup,Complexity,Berry,Floral,Sugars,Caramel,Citrus,Nuts,Rustic,Spice,Honey,Body_2,Region,Drying Method,Roast Recommendations,Website,instock
Burundi Dry Process Agahore,88.7,Dry Process (Natural),Bourbon Types,Yes,8,8.7,8.8,8.4,8.9,9.2,8,8.7,7.8,9.2,3.5,0,3.5,1,0,0,2.5,1,0,4,"Gaterama Village, Gitega",Raised Bed Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/burundi-dry-processs-agahore-7567.html,0
Burundi Dry Process Kayanza Munkaze,88.6,Dry Process (Natural),Bourbon Types,Yes,8,8.6,8.9,8.6,9,9,8.5,9,7.8,9.2,3,0,3,0,0,0,2,2,0,4,"Buyenzi, Kayanza Province",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/burundi-dry-process-kayanza-munkaze-7604.html,0
Burundi Dry Process Kibingo Station,88.3,Dry Process (Natural),Bourbon Types,Yes,8.5,8,8.6,8.6,8.8,9.3,8,8.7,8,8.8,2.5,0,3.5,2,0,0,2.5,1.5,0,4.5,Kayanza Province,Raised Bed Sun Dried,City+ to Full City+,https://www.sweetmarias.com/burundi-dry-process-kibingo-station-7534.html,0
Burundi Dry Process Murambi,88.4,Dry Process (Natural),Bourbon Types,Yes,8,8.8,9,8.3,8.9,9,8.5,8.7,8,9.2,3,0,3,0,0,0,1.5,0,0,4,"Murambi Hill, Kiganda",Raised Bed Sun Dried,City to Full City+,https://www.sweetmarias.com/burundi-dry-process-murambi-7503.html,0
Burundi Gatara Masha,89,Wet Process (Washed),Bourbon Types,Yes,8.5,8.8,8.9,8.7,9,9,8.8,9,9,8.8,1,0,3,3,1.5,0,0,2,1,4,"Gatara Commune, Kayanza Province",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/burundi-gatara-masha-7510.html,0
Burundi Honey Process Kibingo,88,Honey Process,Bourbon Types,Yes,8.5,8.5,8.7,8.7,8.8,9,8.2,8.8,8,8.8,1.5,0,3,2.5,2.5,0,2,2,3,4,Kayanza Province,Raised Bed Sun Dried,City to Full City+,https://www.sweetmarias.com/burundi-honey-process-kibingo-7531.html,0
Burundi Kabarore Commune Yandaro,89.2,Wet Process (Washed),Bourbon Types,Yes,8.5,8.7,9,8.8,9,9,8.8,9,9,8.9,2,0,4,3,2,0,0,2.5,0,4,Kabarore Commune,Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/burundi-kabarore-commune-yandaro-7511.html,0
Burundi Kayanza Gakenke,88.8,Wet Process (Washed),Bourbon Types,No,8.5,8.8,9,8.9,9,8.5,9,9,9,9.1,1,0,4,1,2.5,0,0,2.5,2,3.5,Kayanza Province,Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/burundi-kayanza-gakenke-7508.html,0
Burundi Kayanza Kazoza N'Ikawa,88.2,Wet Process (Washed),Bourbon Types,Yes,8.2,8.8,9,8.7,8.9,8.8,8.7,8.7,8.5,8.9,1,0,3.5,0,1,0,0.5,2.5,0,4,Kayanza Province,Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/burundi-kayanza-kazoza-n-ikawa-7506.html,0
Burundi Kayanza Kibingo Station,89.4,Wet Process (Washed),Bourbon Types,Yes,8.5,9,9,8.7,9,8.7,9,9,9,9,2,0,4,0,2,0,0,3,0,3.5,Kayanza Province,Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/burundi-kayanza-kibingo-station-7509.html,0
Burundi Kayanza Munkaze,89.7,Wet Process (Washed),Bourbon Types,Yes,8.5,8.8,8.9,8.7,9,9,9,9.3,9,9,2,0,4,2,2,0,0,2.5,2,4,"Buyenzi, Kayanza Province",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/burundi-kayanza-munkaze-7512.html,0
Burundi Kiganda Murambi,88.4,Wet Process (Washed),Bourbon Types,Yes,8.5,8.5,8.7,8.7,8.8,9,8.5,8.6,8.3,8.8,0,0,4,2,0,0,0.5,2,1,4,"Kiganda Commune, Muramyva Province",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/burundi-kiganda-murambi-7501.html,0
Burundi Monge Murambi Hill,88.7,Wet Process (Washed),Bourbon Types,Yes,8.5,8.8,9,8.7,9.1,8.9,9,8.7,8.8,9.2,2,1,3,1,2.5,0,0,3,3,4,"Colline Murambi, Mutambu, Bujumbura",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/burundi-monge-murambi-hill-6643.html,0
Burundi Mwaro Magamba,88.4,Wet Process (Washed),Bourbon Types,Yes,8.5,8.7,9,8.8,9,8.5,8.8,9,8.4,9.2,0,0,3.5,0,2,0,0.5,3,3,3.5,"Collines Mwaro, Magamba",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/burundi-mwaro-magamba-7565.html,0
Burundi Rwiri Yagikawa,88.2,Wet Process (Washed),Bourbon Types,Yes,8.5,8.7,8.8,9,8.8,8.5,8.7,8.7,8.5,9,1.5,0,3.5,1,1,0,0,2,0,3.5,"Rwiri, Northern Province",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/burundi-rwiri-yagikawa-7504.html,0
Congo Organic Dry Process Kabare Katana,88.8,Dry Process (Natural),Bourbon Types,No,8.5,8.8,8.8,8.3,9,9.3,8,8.8,7.5,9.3,3,0,3,0,1.5,0,2,2,0,4.5,"Katana Village, Kabare, South Kivu",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/congo-organic-dry-process-kabare-katana-7832.html,0
Congo Organic Kivu Kalehe,88.7,Wet Process (Washed),Bourbon Types,No,8.5,8.7,8.8,9,8.7,8.5,8.5,8.5,8.5,9,0,0,3.5,0,2,0,0,2.5,0,3.5,"Kalehe, South Kivu",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/congo-organic-kivu-kalehe-7833.html,0
Ethiopia Bensa Hamasho Station,92.3,Wet Process (Washed),Heirloom Types,Yes,9.5,9.2,9.4,9,9.3,8.2,9.2,9,9,9.5,0,3,3,0,2,0,0,2.5,0,3,"Hamasho Village, Bensa, Sidama",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/ethiopia-bensa-hamasho-station-7706.html,0
Ethiopia Dry Process Aba Mecha,90.3,Dry Process (Natural),Heirloom Types,Yes,8.2,9,9.1,8.5,9.2,9.3,8.5,9,8,9.5,3,1,3.5,0,1,0,2,0,0,4,"Beshasha, Agaro",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-aba-mecha-7434.html,0
Ethiopia Dry Process Benti Nenka,91.7,Dry Process (Natural),Heirloom Types,Yes,8.2,9,9.2,8.5,9.4,9,9.1,9,8.3,9.5,3.5,2.5,3,0,0,0,2,2,2,4,"Benti Nenka, Hambela Wamena, Guji",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-benti-nenka-7351.html,0
Ethiopia Dry Process Buno Bobea,90.5,Dry Process (Natural),Heirloom Types,Yes,8.2,8.8,9.2,8.6,9.2,9.5,8.5,9,8,9.5,3,0,3,0,1.5,0,2,0,2.5,4.5,"Odo Shakiso, Guji Zone",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-buno-bobea-7391.html,0
Ethiopia Dry Process Buno Dambi Uddo,92,Dry Process (Natural),Heirloom Types,Yes,8.5,9.2,9.4,8.8,9.3,9.5,9.2,9.3,8.3,9.5,4,1,3,0,1,0,1,0,0,4.5,"Dambi Uddo, Shakiso, Guji Zone",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-buno-dambi-uddo-7626.html,0
Ethiopia Dry Process Dogo Sodu,92.2,Dry Process (Natural),Heirloom Types,Yes,8.5,9.3,9.5,8.7,9.5,9,9.4,9.3,8.5,9.5,4,3,3,0,2,0,0,2.5,0,4,"Dogo Sodu Kebele, Guji Zone",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-dogo-sodu-7630.html,0
Ethiopia Dry Process Guji Buku,92.1,Dry Process (Natural),Heirloom Types,Yes,8.3,9.2,9.4,8.6,9.4,9.2,9.2,9,8.7,9.6,4,2.5,3,0,1,0,2,2,0,4,"Buku Sayisa, Hambela Wamena, Guji Zone",Raised Bed Sun Dried,City to Full City - the lighter end of that range for the cup outlined in my review,https://www.sweetmarias.com/ethiopia-dry-process-guji-buku-7622.html,0
Ethiopia Dry Process Hambela Buliye,92,Dry Process (Natural),Heirloom Types,Yes,8.5,9.2,9.5,8.7,9.3,8.8,9,9,8.5,9.5,4,2,3,0,1,0,1.5,1,0,4,"Buliye Kebele, Shakiso, Guji",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-hambela-buliye-7619.html,0
Ethiopia Dry Process Hambela Goro,92.2,Dry Process (Natural),Heirloom Types,Yes,8.2,9,9.5,8.7,9.4,9.2,9.3,9.3,8,9.6,3.5,2,3.5,0,0,0,1.5,2,0,4,"Kebele Goro Badessa, Woreda Hambela Wamena",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-hambela-goro-7627.html,0
Ethiopia Dry Process Idido Desalegn Hijo,91.7,Dry Process (Natural),Heirloom Types,Yes,8.2,9.1,9.5,8.8,9.3,9,9.2,9,8.5,9.6,3,2,3,0,2,0,1.5,2,3,3.5,"Kebele Tulse, Yirga Cheffe, Gedeo",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-idido-desalegn-hijo-7369.html,0
Ethiopia Dry Process Kafa Dehab Mesfin Farm,90.3,Dry Process (Natural),Heirloom Types,Yes,8.5,8.8,9,8.5,9,9.3,8.8,8.8,8.3,9.3,3,1,3.5,1,0,1,1,1.5,0,4,"Kebele Tula, Gimbo District, Kafa",Raised Bed Sun Dried,City to Full City+,https://www.sweetmarias.com/ethiopia-dry-process-kafa-dehab-mesfin-farm-7465.html,0
Ethiopia Dry Process Kebele Keramo,93,Dry Process (Natural),Heirloom Types,Yes,8.5,9.3,9.7,9,9.5,9,9.5,9.3,8.5,9.7,4,3,3,0,2,0,0,1,2.5,4,"Keramo Village, Sidama",Raised Bed Sun-Dried,City to City+,https://www.sweetmarias.com/ethiopia-dry-process-kebele-keramo-7710.html,0
Ethiopia Dry Process Korate,92.5,Dry Process (Natural),Heirloom Types,Yes,9,9.2,9.5,8.8,9.5,8.8,9.5,9.2,8.5,9.5,2,3,2,0,2,0,0.5,0,3,4,"Korate Village, Dari Kidame, Guji",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-korate-7629.html,0
Ethiopia Dry Process Mahamed Aba Nura,90.2,Dry Process (Natural),Heirloom Types,Yes,8.2,9,9.1,8.8,9.1,8.8,8.8,8.9,8.2,9.3,3,1.5,4,2,2,0,2,2,0,4,"Beshasha, Agaro",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-mahamed-aba-nura-7433.html,0
